Date,Time,avg(temp),avg(humidity),max(pir),max(nearPir),min(ch1),max(ch1),min(ch2),max(ch2),min(als),max(als),min(tp0),max(tp0),min(tp1),max(tp1),min(tp2),max(tp2),min(tp3),max(tp3)
2022-03-01,00:00,19.02,38.34,22.00,,,,,,0.00,0.00,-47.00,43.00,-45.00,42.00,-52.00,44.00,-46.00,45.00
2022-03-01,00:15,18.96,38.30,21.00,,,,,,0.00,0.00,-50.00,45.00,-49.00,46.00,-46.00,40.00,-42.00,40.00
2022-03-01,00:30,18.91,38.19,23.00,,,,,,0.00,0.00,-48.00,48.00,-52.00,53.00,-48.00,38.00,-45.00,43.00
2022-03-01,00:45,18.86,38.05,22.00,,,,,,0.00,0.00,-50.00,39.00,-47.00,41.00,-45.00,41.00,-41.00,40.00
2022-03-01,01:00,18.82,37.96,24.00,,,,,,0.00,0.00,-47.00,54.00,-43.00,46.00,-46.00,48.00,-47.00,46.00
2022-03-01,01:15,18.76,37.96,23.00,,,,,,0.00,0.00,-46.00,42.00,-46.00,43.00,-43.00,43.00,-43.00,40.00
2022-03-01,01:30,18.72,37.89,23.00,,,,,,0.00,0.00,-48.00,53.00,-48.00,47.00,-55.00,44.00,-40.00,41.00
2022-03-01,01:45,18.68,37.87,24.00,,,,,,0.00,0.00,-43.00,51.00,-46.00,45.00,-46.00,44.00,-42.00,38.00
2022-03-01,02:00,18.64,37.82,25.00,,,,,,0.00,0.00,-48.00,46.00,-49.00,45.00,-43.00,41.00,-46.00,42.00
2022-03-01,02:15,18.63,37.70,24.00,,,,,,0.00,0.00,-45.00,47.00,-48.00,43.00,-48.00,44.00,-47.00,40.00
2022-03-01,02:30,18.60,37.67,23.00,,,,,,0.00,0.00,-48.00,44.00,-51.00,44.00,-44.00,40.00,-52.00,44.00
2022-03-01,02:45,18.56,37.69,21.00,,,,,,0.00,0.00,-46.00,42.00,-47.00,41.00,-46.00,46.00,-40.00,43.00
2022-03-01,03:00,18.53,37.60,21.00,,,,,,0.00,0.00,-42.00,46.00,-46.00,44.00,-45.00,44.00,-47.00,44.00
2022-03-01,03:15,18.46,37.59,21.00,,,,,,0.00,0.00,-49.00,45.00,-47.00,48.00,-52.00,45.00,-47.00,38.00
2022-03-01,03:30,18.42,37.52,26.00,,,,,,0.00,0.00,-56.00,43.00,-43.00,54.00,-46.00,57.00,-42.00,43.00
2022-03-01,03:45,18.35,37.50,24.00,,,,,,0.00,0.00,-47.00,44.00,-46.00,49.00,-42.00,42.00,-52.00,45.00
2022-03-01,04:00,18.35,37.46,27.00,,,,,,0.00,0.00,-46.00,45.00,-42.00,48.00,-46.00,47.00,-47.00,45.00
2022-03-01,04:15,18.28,37.50,24.00,,,,,,0.00,0.00,-49.00,44.00,-45.00,45.00,-44.00,43.00,-45.00,51.00
2022-03-01,04:30,18.32,37.45,24.00,,,,,,0.00,0.00,-49.00,47.00,-51.00,45.00,-48.00,44.00,-40.00,39.00
2022-03-01,04:45,18.43,37.16,23.00,,,,,,0.00,0.00,-42.00,47.00,-50.00,46.00,-44.00,46.00,-46.00,43.00
2022-03-01,05:00,18.52,36.87,26.00,,,,,,0.00,0.00,-44.00,46.00,-48.00,43.00,-45.00,40.00,-43.00,44.00
